"ISIN","Symbol","ConId","Currency","PrimaryExchange","BestExchange","Rows","FirstDate","LastDate","LastClose"
"IT0004998065","ANIM","148713044","EUR","BVME","SMART","90","2026-04-10","2026-08-14","7.23"
"IT0005023038","GAB","151367780","EUR","BVME","SMART","90","2026-04-10","2026-08-14","0.448"
"IT0005054967","RWAY","174065850","EUR","BVME","SMART","90","2026-04-10","2026-08-14","4.776"
"IT0005108219","IGV","195853874","EUR","BVME","SMART","89","2026-04-10","2026-08-14","1.858"
"IT0005117848","CLE1","196473609","EUR","BVME","SMART","84","2026-04-10","2026-08-14","0.147"
"IT0005244618","CELL","269578166","EUR","BVME","SMART","90","2026-04-10","2026-08-14","2.51"
"IT0005246191","COM2","356842257","EUR","BVME","SMART","90","2026-04-10","2026-08-14","45.5"
"IT0005253205","ITM","275940231","EUR","BVME","SMART","90","2026-04-10","2026-08-14","26.16"
"IT0005262149","SIT","282961455","EUR","BVME","SMART","88","2026-04-10","2026-08-14","2.5"
"IT0005274094","PHN","282656853","EUR","BVME","SMART","90","2026-04-10","2026-08-14","82.3"
"IT0005275778","NDT","290472260","EUR","BVME","SMART","90","2026-04-10","2026-08-14","5.58"
"IT0005412504","CY4","429335249","EUR","BVME","SMART","90","2026-04-10","2026-08-14","9.74"
"IT0005513202","REVO","598802356","EUR","BVME","SMART","90","2026-04-10","2026-08-14","25.2"
"IT0005712671","TIT","891463778","EUR","BVME","SMART","92","2026-04-08","2026-08-14","7.616"
"IT0005713232","OROX","900609414","EUR","BVME","SMART","24","2026-07-14","2026-08-14","9.794"
"JE00B3MW7P88","WFG1","96136742","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.181"
"JE00B55Q3P39","GENL","89592591","GBP","LSE","SMART","90","2026-04-09","2026-08-14","65.9"
"JE00B66M4S72","SCNY","79000321","USD","LSE","SMART","5","2026-04-15","2026-06-22","38.92"
"JE00B78NNS84","00XK","580795292","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","7.8026"
"JE00B78NNV14","EHEN","581193053","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","3.8194"
"JE00B8DFY052","GBSE","127797688","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","22.924"
"JE00BLD8Y945","3TW","528398415","EUR","SWB2","SMART","88","2026-04-08","2026-08-14","7.07"
"JE00BLKGSR75","IDHC","462263735","USD","LSE","SMART","87","2026-04-09","2026-08-14","0.546"
"JE00BMDZN391","TCAP","473984411","GBP","LSE","SMART","90","2026-04-09","2026-08-14","326"
"JE00BP2PWW32","WCO2","797511643","EUR","SWB2","SMART","90","2026-04-10","2026-08-14","25.922"
"JP3152750000","IQ3","15977604","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","22.6"
"JP3902900004","MFZ","12973880","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","19.802"
"KR7005490008","005490","17382512","KRW","KRX","SMART","90","2026-04-06","2026-08-14","334000"
"KR7316140003","316140","353571173","KRW","KRX","SMART","90","2026-04-06","2026-08-14","33700"
"KR7365270008","365270","852106720","KRW","KRX","SMART","90","2026-04-06","2026-08-14","12220"
"KYG0539C1069","4OJ","474196548","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.183"
"KYG210891001","RAE","199972626","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.0738"
"KYG2108Y1052","CHZ","368285529","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","3.68"
"KYG211081248","2M7C","491892223","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","1.28"
"KYG2110P1000","C1S","506927746","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.876"
"KYG2113L1068","C44","459451283","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.105"
"KYG2118N1079","HA5","302061131","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.071"
"KYG2120K1094","2YU","443907884","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.035"
"KYG2140A1076","6CI","451697729","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.002"
"KYG2177B1014","1CK","290392670","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","4.934"
"KYG2588M1006","PH4","489875281","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.616"
"KYG2953R1149","A2XN","368285536","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","4.674"
"KYG3066L1014","XGH","451697844","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","5.088"
"KYG3902L1095","G401","508765028","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","3.96"
"KYG3R83K1037","0FJ","471566888","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.564"
"KYG4672N1198","HCM","368637530","GBP","LSE","SMART","86","2026-04-09","2026-08-14","179"
"KYG5074S1012","822","588918121","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","1.37"
"KYG5264Y1089","3K1","443369598","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","2.84"
"KYG5635P1090","RLF","451697829","EUR","SWB2","SMART","90","2026-04-10","2026-08-14","0.748"
"KYG5804A1076","9ME","490112282","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.496"
"KYG6145U1094","M3I","368285541","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","3.04"
"KYG6470A1168","N1U0","475374628","EUR","SWB2","SMART","90","2026-04-10","2026-08-14","4.38"
"KYG711391022","1XZ","400852828","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.806"
"KYG7611S1075","Y7L","784218291","EUR","GETTEX2","SMART","90","2026-04-10","2026-08-14","2.399"
"KYG7800X1079","599A","214802734","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","1.548"
"KYG8569A1067","SCNR","368285517","EUR","SWB2","SMART","90","2026-04-10","2026-08-14","0.058"
"KYG8586D1097","SXC","393881355","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","6.451"
